experiment,benchmark,tau,method,rep,d,r,rank_hat,queries,discovery_queries,subspace_error,best_noisy_value,final_value,regret,batch,rep_global
optimization,sphere,0.02,oracle_subspace,1,12,2,2,3999,0,3.9424766765007245e-08,-0.0408484218384741,0.0435187136742698,0.0435187136742698,1,3
optimization,sphere,0.02,cross_block_known,1,12,2,2,3999,720,0.2824152960516781,-0.020204039648321,0.0467107292922537,0.0467107292922537,1,3
optimization,sphere,0.02,cross_block_adaptive,1,12,2,7,3999,720,1.0,-0.0348428412477571,0.0306182192001996,0.0306182192001996,1,3
optimization,sphere,0.02,cross_sparse_known,1,12,2,2,3999,600,0.6116448018760773,-0.0262465313081713,0.0470433642108497,0.0470433642108497,1,3
optimization,sphere,0.02,random_subspace,1,12,2,2,3999,0,0.9968534337860888,-0.012760630141585,0.0619368846107862,0.0619368846107862,1,3
optimization,sphere,0.02,full_zo,1,12,2,12,3999,0,1.0,-0.022477908442011,0.0364195435828514,0.0364195435828514,1,3
optimization,ellipsoid,0.0,oracle_subspace,0,12,2,2,3999,0,0.0,0.1399631941663299,0.1800736410512696,0.1800736410512696,1,2
optimization,ellipsoid,0.0,cross_block_known,0,12,2,2,3999,720,0.2717720668213002,0.289942092811992,0.3261521477629302,0.3261521477629302,1,2
optimization,ellipsoid,0.0,cross_block_adaptive,0,12,2,1,3999,720,1.0,0.3682700376313069,0.3812038767803254,0.3812038767803254,1,2
optimization,ellipsoid,0.0,cross_sparse_known,0,12,2,2,3999,600,0.980071119550612,0.2720695716972766,0.3084991754000002,0.3084991754000002,1,2
optimization,ellipsoid,0.0,random_subspace,0,12,2,2,3999,0,0.8755362884196528,0.2111215673342386,0.2453508237943255,0.2453508237943255,1,2
optimization,ellipsoid,0.0,full_zo,0,12,2,12,3999,0,1.0,0.2572914742610494,0.3102028830909937,0.3102028830909937,1,2
optimization,ellipsoid,0.0,oracle_subspace,1,12,2,2,3999,0,2.1073424255447017e-08,0.2246195795211493,0.2455293529888407,0.2455293529888407,1,3
