experiment,method,rep,d,r,n_anchors,queries,operator_error,frobenius_error,subspace_error,rank_hat
moment_bias,cross,14,12,2,160,2560,0.3982114450403767,0.4741912694370981,0.4437584031925355,2
moment_bias,outer,14,12,2,160,2560,0.4007036922402859,0.4630469146789744,0.1502996851627376,2
moment_bias,outer_trace,14,12,2,160,2560,0.2906764223196054,0.3496099602100555,0.2007522992100361,2
moment_bias,cross,14,12,2,320,5120,0.2594382748567101,0.3180183029520871,0.2122497079566053,2
moment_bias,outer,14,12,2,320,5120,0.3434572849085844,0.4060202475437722,0.1185029602418992,2
moment_bias,outer_trace,14,12,2,320,5120,0.2378841698452922,0.2957021224240025,0.072680461060925,2
moment_bias,cross,14,12,2,640,10240,0.2095140183007452,0.2424217852315685,0.1300708263269843,2
moment_bias,outer,14,12,2,640,10240,0.2002201227569836,0.2888189452899756,0.0760098539228216,2
moment_bias,outer_trace,14,12,2,640,10240,0.1979459660610438,0.2528563709285008,0.0570990822813017,2
moment_bias,cross,14,12,2,1280,20480,0.0933907548750922,0.1483433106803077,0.0982815585232994,2
moment_bias,outer,14,12,2,1280,20480,0.1347373216582724,0.2466899173059112,0.070360592266939,2
moment_bias,outer_trace,14,12,2,1280,20480,0.0975898437799947,0.1884384483064438,0.0519175735087538,2
moment_bias,cross,15,12,2,80,1280,0.2929183083671909,0.4545641261667823,0.3213029981096443,2
moment_bias,outer,15,12,2,80,1280,0.2846798320168767,0.4566310141625245,0.1526297897521296,2
moment_bias,outer_trace,15,12,2,80,1280,0.3985385358056977,0.4571472436978641,0.1662995252564873,2
moment_bias,cross,15,12,2,160,2560,0.3880932835629979,0.4838843237454479,0.2232885600792618,2
moment_bias,outer,15,12,2,160,2560,0.2474654413584163,0.3610326925014199,0.1473227515585158,2
moment_bias,outer_trace,15,12,2,160,2560,0.2424367581778487,0.3268546887046555,0.1148354925463291,2
moment_bias,cross,15,12,2,320,5120,0.1376448007630398,0.2228209459625166,0.2023395041444424,2
moment_bias,outer,15,12,2,320,5120,0.1658114074555135,0.3065445066991943,0.094185332078655,2
moment_bias,outer_trace,15,12,2,320,5120,0.1698666731632388,0.2601557531180185,0.0989596858071814,2
moment_bias,cross,15,12,2,640,10240,0.2158102345081293,0.246320951847736,0.1692015263272836,2
moment_bias,outer,15,12,2,640,10240,0.2821359399210018,0.3748986064121186,0.0439460454606597,2
moment_bias,outer_trace,15,12,2,640,10240,0.2135010262145293,0.2856299961121371,0.0633085098241982,2
moment_bias,cross,15,12,2,1280,20480,0.1095816975115781,0.1359810730725118,0.0913290244332783,2
moment_bias,outer,15,12,2,1280,20480,0.1575424288542937,0.2615190686514369,0.0376002906274121,2
moment_bias,outer_trace,15,12,2,1280,20480,0.1091913356458896,0.1983434613555089,0.0611788920578768,2
